item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d
COFFEE_LATTE,Groceries,150,50,7,3,25.5,3.2,0.85,A,45,2.50,99.99,0.15,1,0.95,750,12.5,0.92,2024-11-01,178.5
COFFEE_CAPPUCCINO,Groceries,120,40,7,3,20.8,2.8,0.78,A,42,2.30,89.99,0.14,2,0.92,620,11.8,0.90,2024-11-03,145.6
COFFEE_ESPRESSO,Groceries,200,60,5,2,35.4,4.1,0.92,A,38,1.80,69.99,0.12,0,0.98,1050,14.2,0.95,2024-11-05,247.8
COFFEE_AMERICANO,Groceries,180,55,7,3,28.3,3.5,0.88,A,40,2.00,79.99,0.13,1,0.96,850,13.1,0.93,2024-11-02,198.1
CROISSANT,Groceries,80,25,3,1,15.2,2.1,0.72,B,55,3.20,45.00,0.20,3,0.88,450,8.5,0.85,2024-11-06,106.4
MUFFIN_CHOCOLATE,Groceries,90,30,4,2,18.5,2.5,0.75,B,52,2.80,49.99,0.18,2,0.90,550,9.2,0.87,2024-11-04,129.5
TEA_GREEN,Groceries,140,45,10,4,12.8,1.8,0.65,B,60,1.50,59.99,0.11,4,0.85,380,7.8,0.80,2024-10-28,89.6
SANDWICH_HAM,Groceries,60,20,2,1,22.4,3.8,0.80,A,48,4.50,79.99,0.25,2,0.91,670,10.5,0.88,2024-11-07,156.8
MILK_WHOLE,Groceries,300,100,14,5,45.2,5.5,0.70,C,70,0.80,35.00,0.08,5,0.82,1350,15.8,0.75,2024-10-25,316.4
SUGAR_PACKETS,Groceries,500,150,30,7,8.5,1.2,0.50,D,90,0.20,15.00,0.05,1,0.95,250,5.2,0.70,2024-10-15,59.5
